ID,grad_year,grad_sem,full_title,title,subtitle,loc,lat,long,abstract
11,2015,Fall,Beyond the Edge: Complexity Approach to Urban Fringes,Beyond the Edge,Complexity Approach to Urban Fringes,"Pune, India",18.521428,73.8544541,"After Mumbai, Pune is the second largest city in the state of Maharashtra. With the city’s growing popularity its urban population is expected to double in coming 20 years; while the area governed by Pune planning authorities will double in next five years. The current planning approach is based on differentiated land use which focuses on territorial scales and long term goals. In this planning approach, everyday life processes tend to be ignored. This causes problems which are most prominent in the urban fringes. Fringe areas are vital in the growth and prosperity of the region as a whole. For its weak institutional situation the fringe lands urbanize in an unpremeditated manner and the potentials of its diverse environments degrade by the time the area begins to develop fully. We address this issue with a focus on complexity theories of cities (CTC). Herein, the city is viewed as a complex system characterized by the interaction of dynamics from the bottom-up and top-down forces. With this insight the proposed complexity approach explores into local dynamics and investigates how they can be taken into account to include contextual qualities. This is done by using micro-stories that describe the day-to-day life of families, including previous generations and their socio-spatial context. This information helps interpret the territory in a manner so as to build plausible visions. From this approach we attempt to outline - how a weak institutional environment in the current planning system may be strengthened towards a more inclusive process of urbanization."
12,2013,Spring,Blue Stitches for a Broken City: Exploring the potential of drainage basins as backbone for improving the living environment in Las Cruces Mountain Range,Blue Stitches for a Broken City,Exploring the potential of drainage basins as backbone for improving the living environment in Las Cruces Mountain Range,"Las Cruces, Mexico",19.1842297,-99.8521661,"Mexico City is built on a dissected lake and the urban expansion has appropriated the mountains surrounding the valley. This has brought environmental issues mostly related with water, but also problems related with the whole living environment on the territory of the mountains. So far problems of the city have been addressed either as valley or as mountain, not as a single system. The thesis takes one river and its drainage basin as case study that can be replicated in the rest of rivers of the city. The focus of study addresses the ecological regeneration of the drainage basin as starting point for regenerating the living conditions and joint that articulates the territory of the mountain with the valley. The geomorphological characteristics of the drainage basin are taken as backbone to define a spatial strategy that can be replicated and shift the city towards a more balanced metropolis."
13,2013,Spring,Bucharest: Between North and South,Bucharest,Between North and South,"Bucharest, Romania",44.4361414,26.1027202,"Bucharest, as many other cities, is a divided city. This urban divide is described here as the result of a dense historic stratification of unfinished urban projects, in terms of current socio-economic processes, and as related to the conflict between the structure of the city and its wider environment. Rather than targeting the less developed half of the city, the proposed strategy addresses the area of interaction between the two sides: the valley. Born from the former floodplain of Dâmbovi?a, the river crossing Bucharest's very center, here the valley is structurally defined on the West-East direction, while the three case studies show the details of the intervention meant to improve the integration between North and South. The work is concluded with a reflection on the possible wider effects of the intervention and initiates a debate on how the structure of the city might change into a configuration that has a more synergistic relation with the territory."
14,2010,Spring,Bucharest 2025: A new paradigm,Bucharest 2025,A new paradigm,"Bucharest, Romania",44.4361414,26.1027202,"Bucharest is an urban palimpsest, its spatial characteristics bearing the trace of all ideological changes within its urban fabric. Its accelerated development in two stages (1850s- 1930s and 1950s-1989) generated a superposition of fragmented urban projects (signs of various stages of modernity) that were never finished. These stages in its evolution were generated by advances in technology and therefore the reformulation of the infrastructural framework, and changes in the perception of open-spaces as main arenas of publicness. After 1989, the inability of the City to produce a new infrastructural paradigm and its careless treatment of the open-space through market speculation produced chaotic development, extreme fragmentation, lack of public space, and last but most important, the lack of public trust in planners. With this problem setting in mind there are a few questions that become the backbone of this thesis: How could we use infrastructure and open-space to describe the future of Bucharest? Can they act as frameworks to produce a new paradigm for the city? Can Bucharest become a testing ground for conjectures that become relevant at a wider scale? These are the main questions to which this thesis research should be able to answer. By developing conjectures illustrating how Bucharest could be shaped around infrastructure and open-space, the ambition of this work is to produce guidelines and tools for an isotropic and permeable Bucharest."
15,2012,Spring,Building Back Better: The redevelopment of Bam in Post-disaster Condition,Building Back Better,The redevelopment of Bam in Post-disaster Condition,"Bam, Iran",29.1059864,58.3565663,NA
16,2009,Spring,"City Competence through Strategic Spatial Configutation: Case Study: Queretaro, MX",City Competence through Strategic Spatial Configutation,Case Study,"Queretaro, Mexico",20.5927744,-100.3902245,NA
17,2011,Spring,Colouring the Patchwork Metropolis,Colouring the Patchwork Metropolis,NA,"Randstad, Netherlands",52.3780424,5.2260721,"Adieu compact city As stated by Jan Neutelings, in a complex area like the Randstad conurbation the model of compact city based on the romantic polarity between a paradisal Arcadia and a megalomaniac metropolis has long been inadequate for interpreting the reality of the situation. The dissolution of the old European town seems to be irreversible, although nobody can predict its specific future formation in social and spatial terms. In view of the structural problems and uncertainties, how can town planning find a way from its present resigned position? From the Randstad to the patchwork metropolis The concept of the patchwork metropolis overcomes the compact city limits, defining a new territorial structure composed by an endless juxtaposition of shifting patches. A model that considers planning as a pointless activity. Should we just give up in front of the impossibility to coordinate the Randstad? The necessity to guide The aim of this project was to allow and guide the transformations, that anyway will affect the territory, respecting those main qualities that characterize each patch. According to the highlighted features and the relations with the slow and fast networks some patches will be protected within an accelerating territory under changing processes. The patchwork model calls for a change of paradigm: the fact of the matter shifts from where to build the next patch of neighborhood, towards how to build within the patchwork."
18,2013,Spring,Connecting the megalopolis: Corridors for integrated air and public transport networks in the megalopolis of Mexico.,Connecting the megalopolis,Corridors for integrated air and public transport networks in the megalopolis of Mexico.,"Mexico City, Mexico",19.4326296,-99.1331785,NA
19,2010,Spring,Constructing the in-between metropolitan landscapes: An open space strategy for the Barcelona Metropolitan Region,Constructing the in-between metropolitan landscapes,An open space strategy for the Barcelona Metropolitan Region,"Barcelona, Spain",41.3828939,2.1774322,"The thesis attempts to understand the processes of metropolization occurred during the last decades in the Barcelona Metropolitan Region in terms of change of scale, new functions and physical transformations of the urban landscape. The dispersed and fragmented landscapes of expansion are analyzed to understand which are the elements of conflict and discussion in order to define new possible futures for the region. The main objective of the thesis is to understand how the fragmented in?between metropolitan landscapes have been created, to analyse the patterns of occupation and transformation and to investigate the potentials they have to be constructed in the future in a much more integrated and sustainable way. The methodology of the regional analysis carried out goes through the historical evolution of the region focusing on the processes of urbanization, industrialization and development of infrastructures. The study shows how along the defined stages, the relation between city and nature has evolved until the present situation where its boundaries are fragmented and blurred. The analysis of the different patterns of growth and its extrapolation allows to develop different possible models of growth. A closer up in the Vallès Plain area allows the definition of specific strategies aligned with the regional developed scenario. In order to shift from large scale diagrams and scenarios to a closer approach on reality, an area is designed as a test of its spatial quality."
20,2014,Spring,Contextualizing Edges: the rural case of Sardinia,Contextualizing Edges,the rural case of Sardinia,"Sardinia, Italy",40.0912813,9.0305773,"The phenomenon of the depopulation affects the spatial configuration of the countryside, and how inhabitants use it. The thesis explores the region of Sardinia, Italy, with the aim as first to map the problem through experimental methodology, and finally to propose solutions which can be applied elsewhere. The thesis is not only a process of research through mapping, but it's also the story of the region itself told using a vast usage of experimental mapping, and complex info-graphics."
21,2009,Spring,Creative cultural incubator carpet in western gateway of Seoul,Creative cultural incubator carpet in western gateway of Seoul,NA,"Seoul, South Korea",37.5666791,126.9782914,NA
22,2009,Fall,De-fragmenting Athens: Drosscape as a device for integration between the metropolitan and the local scale,De-fragmenting Athens,Drosscape as a device for integration between the metropolitan and the local scale,"Athens, Greece",37.9755648,23.7348324,"The city of Athens underwent a rapid expansion that initiated in the 1950s and 1960s because of the transition from the agricultural to the industrial economy. Today, the capital of Greece is undergoing different transformations due to the shift from the industrial to the postindustrial and informational era. These observations could lead us to question the future of the city of Athens and of the Attica territory as a whole and could make us realize the potentialities of the drosscape within the Attica basin. Dross is the residual of the urban processes, the left-over, in other words the waste landscapes of the territory. The thesis attempts to confront the problem of wastelands, drosscape and brownfields and research for new tools to deal with them. The thesis is design-oriented and as a project attempts to transmit knowledge by integrating the different scales of city and territory. The main research question investigated is: «How can we re-use the waste landscapes of the Attica basin by combining the needs of both the metropolitan and the local scale? ». The analysis aimed at identifying the dross areas while looking at the factors contributing to their formation and trying to predict the future waste landscape within the specific territory of Athens. By looking at the drosscapes as a potential for the city, the design used the method of scenarios in order to investigate potentialities and risks."
23,2017,Spring,Design methods for a water-sensitive city: Brasília as a case study,Design methods for a water-sensitive city,Brasília as a case study,"Federal District, Brazil",-15.7754462,-47.7970891,NA
24,2012,Spring,Enabling infrastructures: Rethinking urban informality in Guadalajara,Enabling infrastructures,Rethinking urban informality in Guadalajara,"Guadalajara, Mexico",20.6720375,-103.338396,NA
25,2018,Spring,"Engaging Socio-Spatial Fragmentation Through Public Domain: Gated Communities in the Greater Metropolitan Area, San Jose, Costa Rica",Engaging Socio-Spatial Fragmentation Through Public Domain,"Gated Communities in the Greater Metropolitan Area, San Jose, Costa Rica","San Jose, Costa Rica",9.9325427,-84.0795782,"Gated communities exist in most urbanized contexts around the world and San José, Costa Rica is not the exception. Following the discourse of insecurity and the claim of building community with-in the confinement of the gates, new developments are constructed with a peripheral wall. As gated communities diversify to all available markets they have self-segregated from the city. <br/>The result is a city composed by clusters of enclaves separated by functions thus, car dependent and in detriment of the public space. Under this condition this thesis research will focus on possible spatial strategies to modify public spaces with the aim to allow for and facilitate social interactions in areas that are dominated by gated communities. Using as a starting point the understanding that public spaces mediate between the private spaces, thus having an important role in the confronting process of socio-spatial fragmentation and that the promotion of public spaces can address the imbalance manifested by the privatization of public spaces (Madanipour, 1999). <br"
26,2011,Spring,Facing Growth through Permeability: 120 PROJECTS FOR CARACAS,Facing Growth through Permeability,120 PROJECTS FOR CARACAS,"Caracas, Venezuela",10.5060934,-66.9146008,"The accelerated growth that Caracas experienced during the twentieth century resulted in a superimposition of different urban patterns not always in proper dialogue between each other. The irregular political structure was supported by an increasingly powerful new economy which generated growth promoted by two opposite extremes. From above, the city was promoted by the public and private sector under the influence of ideological models claiming to have a sole and absolute response to the rapid urban development of the twentieth century. Real estate developments adopted the suburban “garden city” model for the elites, while state policies gave a touch of post-war modernity to this model, on the grounds of “social utopia”. The set of one-way urban policies instigated alternative responses by those who were excluded from the system, giving a final shape to urban needs in a spontaneous model of growth (also called informal) promoted from the bottom. This parallel growth never reached an effective dialogue and growth models became patterns of exclusion. As a result, the contemporary profile of Caracas lies on a fragmented urban structure, physically inaccessible, setting a segregated social configuration. This work proposes a strategy that promotes urban renewal from both directions. The “top-down” strategy seeks to respond to population growth through a proposal for densification of the existing city. In contrast to the model of territorial expansion of “Socialist Cities” promoted by the state, the strategy aims to increase urban density on top of the existing low densities caused by the suburban model, taking advantage of the existing transport infrastructure. In parallel, the “bottom-up” strategy pays attention to the specific location, giving importance to topics such as place identity, place diversity and place governance. The starting point is the “project of one street” with immediate impact on the local scale. However, the project responds to conditions that are common in different parts of the city giving rise to similar strategies that can be repeated to generate a combined impact with metropolitan relevance."
27,2009,Spring,Farmin Paris 2030: Shaping the city by open space,Farmin Paris 2030,Shaping the city by open space,"Paris, France",48.8534951,2.3483915,NA
28,2009,Spring,"From public space to public domain: A regeneration project for degraded public spaces in Copacabana
",From public space to public domain,"A regeneration project for degraded public spaces in Copacabana
","Copacabana, Rio de Janeiro, Brazil",-22.971974,-43.1842997,NA
29,2012,Spring,Futures in Common?: New Directions for Spatial Development in Shrinking Resource Regions,Futures in Common?,New Directions for Spatial Development in Shrinking Resource Regions,"Nova Scotia, Canada",45.1960403,-63.1653789,NA
31,2017,Spring,Habitat Embroidery: An Interwoven Landscape Framework for a Reclaimed Former Sea Bed,Habitat Embroidery,An Interwoven Landscape Framework for a Reclaimed Former Sea Bed,"Flevoland, The Netherlands",52.4484375,5.4235397,"The thesis aims to explore the possible spatial transformation and design principles for introducing a landscape infrastructure that could facilitate the establishment of a new relationship between human and nature. Flevopolders in the IJsselmeer delta area is chosen as the site of study due to its unique natural and cultural settings, which represents a hard technology-based living environment that is dealing with its environmental vulnerability, the metropolitan pressure and the climate change uncertainty. The application of landscape infrastructure is based on the concept of integrating natural and human habitats through biophysical forces to form an operative landscape structure. It is implemented through-scale under the guidance of two fundamental design principles, ground level adjustment and water level management. The overall operative structure consists of the prepared ground of the territory and a robust ecological backbone. It helps the territory to pick up the lost natural dynamics and habitat diversity, as well as to guide the cultural development in an ecological-based, multifunctional and adaptive way. The notion of landscape infrastructure and its application transform the original landscapes in Flevopolders into an interwoven landscape that contains diverse and flexible interconnected spaces. It becomes the new framework that guides the future development of the territory, and reveals the optimal characteristics of a delta area."
33,2017,Fall,Heritage of the ordinary: an alternative view: Strategies for using cultural heritage sites as a driver of sustainable urban [re]development in Piraeus,Heritage of the ordinary,an alternative view,"Piraeus, Greece",37.9431594,23.6470593,"This thesis explored urban strategies for harnessing diverse types of cultural heritage of the ordinary urban environment in order to achieve sustainable urban development. During the past century, urban expansions took place without any special regard towards existing cultural heritage expressions. Despite the significant role of heritage in shaping societal cultural identities and the extensive space that occupies within the built space, it is not taken into consideration in strategic planning. As a result, a great amount of cultural heritage remains unrecognized and ignored. Meanwhile, the urban transformations have been immense and largely unsustainable, in ways that consumed the natural environment and endangered the future development of the city. The aim of this research and design project was to highlight the latent potential of cultural heritage as a driver of urban redevelopments focused on sustainability. To explore this argument, the project took as case study the periphery of Piraeus in Athens metropolitan area, Greece and examined the relevant concepts and proposals at the metropolitan and local scale. The process of research, analysis and design was a continuous dialogue between two basic lines of narrative, namely the cultural heritage and the sustainable urban development. The research and design process employed various methods, according to the needs and challenges of each topic. The findings led to the elaboration of a strategy for the periphery of Piraeus comprising guiding principles, design solutions at the local scale and governance arrangements. The final structural and design proposals included: i) the recommendation of a new definition and a two-level system of official designation of cultural heritage elements; ii) a set of guiding principles for sustainable urban development at the metropolitan scale; iii) a design solution for Apollon neighbourhood, which acted as a showcase of the principles’ applicability; iv) the development of a national inventory and the implementation of pilot projects, as counteraction to the governance challenges."
35,2017,Spring,Ikseon Hanok Village: The management of change in Historic Urban Quarters,Ikseon Hanok Village,The management of change in Historic Urban Quarters,"Seoul, South Korea",37.5666791,126.9782914,NA
36,2014,Spring,Inclusive Infrastructure: Large-scale projects and the consequences for urban development and social justice in the city of Fortaleza,Inclusive Infrastructure,Large-scale projects and the consequences for urban development and social justice in the city of Fortaleza,"Fortaleza, Brazil",-3.7304512,-38.5217989,NA
38,2009,Fall,Intelligent Planning Support System in terms of Residential and Service Locations and Network: Cruquius Case Study,Intelligent Planning Support System in terms of Residential and Service Locations and Network,Cruquius Case Study,"Cruquius, The Netherlands",52.3364776,4.6367765,NA
40,2018,Spring,"Intertwined Natures: Towards Territorial Cohesion &amp; Flood Risk Adaptation in Lambayeque, Peru",Intertwined Natures,"Towards Territorial Cohesion &amp; Flood Risk Adaptation in Lambayeque, Peru","Lambayeque, Peru",-6.333333,-80,"Historically, the regional landscape of Lambayeque has mainly been natural, agricultural, rural and lastly, urban. However, economic development, demographic growth and urban expansion have overpowered the more natural domain creating non–dynamic flows within the system, compressing all functions at the city scale, specially in Chiclayo as the capital of the region. Furthermore, due to climate change, natural disasters are getting more acute leaving behind devastated productive land, infrastructure and small rural towns, affecting mostly vulnerable population. Given that almost half of the region is cover by un–built areas with mixed ecological value, this broader –currently disconnected– landscape holds great opportunity as a linking element with the urban tissue, putting forwards the idea for creating symbiotic relations through green and blue multifunctional infrastructure and, at the same time reinforcing the regional identity. From the aforementioned context, the urgency for an integrative planning comprising urban, rural and natural landscapes arise. Due to the importance of agriculture not just in the economic dimension, but in the regional idiosyncrasy, productive lots hold the capacity to be integrated into the proposed green and blue initiative re–drawing the inherent connection between wilderness and, man–made landscapes focusing in gathering spaces, which are mainly non–existent within city boundaries. Furthermore, the territorial understanding is comprised by three natures, the first one refers to wilderness landscapes, the second one to man–made landscapes and the third one to ‘highly designed’ landscapes, where the third nature is understood as a complex intertwining of ecological elements, communities, cultural services and flows through processes of space &amp; time."
41,2014,Spring,Is There a City Beyond the Buildings?: Searching for Urbanity in Recife,Is There a City Beyond the Buildings?,Searching for Urbanity in Recife,"Recife, Brazil",-8.0584933,-34.8848193,"This thesis is inserted in the debate about density, urban form and spatial quality. It intends to contribute in the study of Urbanity, the dimensions it involves and methods to evaluate and achieve it in an adequate level in cities, especially in the context of developing countries. The aim of this research is in one hand to discuss how the construction (historical, cultural and institutional) of the space of the city of Recife performs as a City in the sense of place to meet and exchange and on the other hand how that performance can be improved through planning as the city continuously evolves. In an enlarged view, this study sheds light on the relevance of planning instruments and ultimately in the role of Urbanism and the limitations and possibilities it faces when addressing the processes behind the evolution of cities."
44,2014,Spring,Living on the 'Edge': In between Water and Urban fabric of Pune city,Living on the 'Edge',In between Water and Urban fabric of Pune city,"Pune, India",18.521428,73.8544541,NA
45,2021,Summer,Living on the Edges of a Border City: The case of Cucuta and El Rodeo. Planning strategies for the spontaneous city,Living on the Edges of a Border City,The case of Cucuta and El Rodeo. Planning strategies for the spontaneous city,"Cúcuta, Colombia",8.07761875,-72.46890019811272,"Cucuta is a border city between Colombia and Venezuela with complex dynamics due to its location and historical background, affected by drug trafficking, guerrilla warfare, and Venezuela's most recent multidimensional crisis. The city's structural plan (POT) is under review, trying to adapt to the local and global challenges: mass migration; social integration of communities in a post-conflict transition; an economic shift from a commercial dependency of the border into a self-productive region; the demand for housing and the occupation of high-risk areas, are some of the main aspects. These issues are more evident in the fringe areas of the city (edges), where informality is the main pattern of urban growth, with a later upgrade by the local government.<br/>Then, how to achieve an inclusive urban development in the edges of a border city with rapid social and economic transformations?<br/>This graduation project explores the process of urbanization in the edges of Cucuta and the implications of the border in the city's growth. The intention is to question the disparity between spatial planning and the spontaneous consolidation of the city's peripheries. In particular, this research focuses on one of these edges called 'El Rodeo', where more than 5,000 families have settled illegally during the last 20 years. Currently, there is a community development project for this area that involves multiple stakeholders, including the mayor's office. However, there is not a spatial strategy that envisions El Rodeo in the coming years.<br/>Hopefully, the outcome of this work can be used as feedback for the planning office and inspire interventions in similar contexts.<br"
